V1,,V2,,H1,,H2,
day,h,day,h,day,h,day,h
0,300,0,275,0,275,0,275
10,626.10469217,10,127.881154086258,10,127.881154086258,10,127.881154086258
17,826.76378132,17,25.3501113465373,17,25.3501113465373,17,25.3501113465373
27,777.83172369,27,31.1379706441377,27,31.1379706441377,27,31.1379706441377
37,733.29245042,37,38.7877292601782,37,38.7877292601782,37,38.7877292601782
47,694.35775321,47,46.1952027184448,47,46.1952027184448,47,46.1952027184448
57,660.33460478,57,52.6369726179191,57,52.6369726179191,57,52.6369726179191
67,630.33103634,67,58.0064962042067,67,58.0064962042067,67,58.0064962042067
77,603.58828466,77,62.4152436097582,77,62.4152436097582,77,62.4152436097582
87,579.51386937,87,66.0250852350428,87,66.0250852350428,87,66.0250852350428
97,557.6538427,97,68.9887672699808,97,68.9887672699808,97,68.9887672699808
100,551.28388573,100,69.823652045734,100,69.823652045734,100,69.823652045734
120,513.23109512,120,74.1876142600049,120,74.1876142600049,120,74.1876142600049
140,480.95760918,140,77.140648199147,140,77.140648199147,140,77.140648199147
160,453.19582733,160,79.1682160216235,160,79.1682160216235,160,79.1682160216235
180,428.74268469,180,80.6195805013119,180,80.6195805013119,180,80.6195805013119
200,407.02739576,200,81.6582097382284,200,81.6582097382284,200,81.6582097382284
220,387.61247325,220,82.3942712308785,220,82.3942712308785,220,82.3942712308785
240,370.15176708,240,82.9041682131673,240,82.9041682131673,240,82.9041682131673
260,354.36526246,260,83.2422118975055,260,83.2422118975055,260,83.2422118975055
280,340.02297096,280,83.4478860539332,280,83.4478860539332,280,83.4478860539332
300,326.93397245,300,83.5504623007596,300,83.5504623007596,300,83.5504623007596
320,314.93852886,320,83.5720050450951,320,83.5720050450951,320,83.5720050450951
340,303.90215624,340,83.5293819019568,340,83.5293819019568,340,83.5293819019568
360,293.71102989,360,83.4356470133583,360,83.4356470133583,360,83.4356470133583
365,291.26098611,365,83.4066783873298,365,83.4066783873298,365,83.4066783873298
